n	Pivot choice	Time taken (seconds)
10	1	0.0000087000
10	2	0.0000162000
10	3	0.0000060000
510	1	0.0059821000
510	2	0.0003803000
510	3	0.0002388000
1010	1	0.0233147000
1010	2	0.0008356000
1010	3	0.0005226000
1510	1	0.0559624000
1510	2	0.0012769000
1510	3	0.0009071000
2010	1	0.0981650000
2010	2	0.0025554000
2010	3	0.0014967000
2510	1	0.1560729000
2510	2	0.0021582000
2510	3	0.0015132000
3010	1	0.2324188000
3010	2	0.0031386000
3010	3	0.0020498000
3510	1	0.3582951000
3510	2	0.0034223000
3510	3	0.0023702000
4010	1	0.4114570000
4010	2	0.0042846000
4010	3	0.0028706000
4510	1	0.5646759000
4510	2	0.0052834000
4510	3	0.0037069000
