n	Pivot choice	Time taken (seconds)
10	1	0.0000118000
10	2	0.0000143000
10	3	0.0000175000
510	1	0.0061945000
510	2	0.0004121000
510	3	0.0002349000
1010	1	0.0232310000
1010	2	0.0008412000
1010	3	0.0005101000
1510	1	0.0543622000
1510	2	0.0012565000
1510	3	0.0009435000
2010	1	0.1030240000
2010	2	0.0017016000
2010	3	0.0011265000
2510	1	0.1688353000
2510	2	0.0024088000
2510	3	0.0016198000
3010	1	0.2388217000
3010	2	0.0030262000
3010	3	0.0020968000
3510	1	0.3174919000
3510	2	0.0032200000
3510	3	0.0022320000
4010	1	0.4232996000
4010	2	0.0043748000
4010	3	0.0027536000
4510	1	0.5696571000
4510	2	0.0043127000
4510	3	0.0027906000
