n	Pivot choice	Time taken (seconds)
10	1	0.0000064000
10	2	0.0000102000
10	3	0.0000051000
510	1	0.0064472000
510	2	0.0003692000
510	3	0.0002834000
1010	1	0.0237439000
1010	2	0.0008392000
1010	3	0.0005251000
1510	1	0.0562890000
1510	2	0.0014519000
1510	3	0.0009615000
2010	1	0.1083657000
2010	2	0.0019284000
2010	3	0.0012712000
2510	1	0.1582647000
2510	2	0.0026260000
2510	3	0.0017154000
3010	1	0.2457464000
3010	2	0.0033166000
3010	3	0.0022884000
3510	1	0.3179226000
3510	2	0.0035577000
3510	3	0.0024274000
4010	1	0.4145601000
4010	2	0.0042464000
4010	3	0.0026757000
4510	1	0.5481671000
4510	2	0.0048098000
4510	3	0.0037104000
